Name,SRM_Email_ID,Password,Subject,Internal_Marks,Attendance_Percentage
Sneha Kumar,sk9713@srmist.edu.in,o7$AN9d@,PROFESSIONAL ETHICS,51,53.79
Sneha Kumar,sk9713@srmist.edu.in,o7$AN9d@,OBJECT ORIENTED DESIGN AND PROGRAMMING,59,72.15
Sneha Kumar,sk9713@srmist.edu.in,o7$AN9d@,RASPBERRY PI FUNDAMENTALS,49,56.93
Krishna Singh,ks9647@srmist.edu.in,%!j9vxiC,UHV-II,35,86.23
Krishna Singh,ks9647@srmist.edu.in,%!j9vxiC,COMPUTER ORGANIZATION AND ARCHITECTURE,52,78.48
Krishna Singh,ks9647@srmist.edu.in,%!j9vxiC,ADVANCED PROGRAMMING PRACTICE,36,74.79
Krishna Singh,ks9647@srmist.edu.in,%!j9vxiC,DATA STRUCTURES AND ALGORITHMS,50,54.56
Krishna Singh,ks9647@srmist.edu.in,%!j9vxiC,DATA STRUCTURES AND ALGORITHMS LAB,60,85.72
Krishna Singh,ks9647@srmist.edu.in,%!j9vxiC,PROFESSIONAL ETHICS,52,63.64
Krishna Singh,ks9647@srmist.edu.in,%!j9vxiC,OBJECT ORIENTED DESIGN AND PROGRAMMING,40,58.75
Krishna Singh,ks9647@srmist.edu.in,%!j9vxiC,RASPBERRY PI FUNDAMENTALS,37,84.58
Kavya Verma,kv7912@srmist.edu.in,leA5HZH6,UHV-II,43,57.71
Kavya Verma,kv7912@srmist.edu.in,leA5HZH6,COMPUTER ORGANIZATION AND ARCHITECTURE,39,83.88
Kavya Verma,kv7912@srmist.edu.in,leA5HZH6,ADVANCED PROGRAMMING PRACTICE,47,97.22
Kavya Verma,kv7912@srmist.edu.in,leA5HZH6,DATA STRUCTURES AND ALGORITHMS,34,79.02
Kavya Verma,kv7912@srmist.edu.in,leA5HZH6,DATA STRUCTURES AND ALGORITHMS LAB,45,89.47
Kavya Verma,kv7912@srmist.edu.in,leA5HZH6,PROFESSIONAL ETHICS,36,68.28
Kavya Verma,kv7912@srmist.edu.in,leA5HZH6,OBJECT ORIENTED DESIGN AND PROGRAMMING,46,98.66
Kavya Verma,kv7912@srmist.edu.in,leA5HZH6,RASPBERRY PI FUNDAMENTALS,34,88.91
Abhinav Desai,ad8401@srmist.edu.in,qtwGJGo1,UHV-II,45,79.51
Abhinav Desai,ad8401@srmist.edu.in,qtwGJGo1,COMPUTER ORGANIZATION AND ARCHITECTURE,32,87.98
Abhinav Desai,ad8401@srmist.edu.in,qtwGJGo1,ADVANCED PROGRAMMING PRACTICE,57,83.23
Abhinav Desai,ad8401@srmist.edu.in,qtwGJGo1,DATA STRUCTURES AND ALGORITHMS,56,51.19
Abhinav Desai,ad8401@srmist.edu.in,qtwGJGo1,DATA STRUCTURES AND ALGORITHMS LAB,40,51.88
Abhinav Desai,ad8401@srmist.edu.in,qtwGJGo1,PROFESSIONAL ETHICS,39,52.37
Abhinav Desai,ad8401@srmist.edu.in,qtwGJGo1,OBJECT ORIENTED DESIGN AND PROGRAMMING,40,88.48
Abhinav Desai,ad8401@srmist.edu.in,qtwGJGo1,RASPBERRY PI FUNDAMENTALS,32,60.47
Dev Banerjee,db1370@srmist.edu.in,QRxjfi&M,UHV-II,56,88.64
Dev Banerjee,db1370@srmist.edu.in,QRxjfi&M,COMPUTER ORGANIZATION AND ARCHITECTURE,34,51.73
Dev Banerjee,db1370@srmist.edu.in,QRxjfi&M,ADVANCED PROGRAMMING PRACTICE,51,89.17
Dev Banerjee,db1370@srmist.edu.in,QRxjfi&M,DATA STRUCTURES AND ALGORITHMS,40,69.92
Dev Banerjee,db1370@srmist.edu.in,QRxjfi&M,DATA STRUCTURES AND ALGORITHMS LAB,44,54.07
Dev Banerjee,db1370@srmist.edu.in,QRxjfi&M,PROFESSIONAL ETHICS,55,52.07
Dev Banerjee,db1370@srmist.edu.in,QRxjfi&M,OBJECT ORIENTED DESIGN AND PROGRAMMING,41,51.35
Dev Banerjee,db1370@srmist.edu.in,QRxjfi&M,RASPBERRY PI FUNDAMENTALS,46,61.47
Pranav Iyer,pi0584@srmist.edu.in,gYjS%*gM,UHV-II,54,65.38
Pranav Iyer,pi0584@srmist.edu.in,gYjS%*gM,COMPUTER ORGANIZATION AND ARCHITECTURE,54,51.64
Pranav Iyer,pi0584@srmist.edu.in,gYjS%*gM,ADVANCED PROGRAMMING PRACTICE,42,95.83
Pranav Iyer,pi0584@srmist.edu.in,gYjS%*gM,DATA STRUCTURES AND ALGORITHMS,42,97.44
Pranav Iyer,pi0584@srmist.edu.in,gYjS%*gM,DATA STRUCTURES AND ALGORITHMS LAB,54,93.98
Pranav Iyer,pi0584@srmist.edu.in,gYjS%*gM,PROFESSIONAL ETHICS,45,80.18
Pranav Iyer,pi0584@srmist.edu.in,gYjS%*gM,OBJECT ORIENTED DESIGN AND PROGRAMMING,30,85.28
Pranav Iyer,pi0584@srmist.edu.in,gYjS%*gM,RASPBERRY PI FUNDAMENTALS,34,61.41
Rohan Kulkarni,rk7593@srmist.edu.in,#7KBYmTF,UHV-II,31,63.37
Rohan Kulkarni,rk7593@srmist.edu.in,#7KBYmTF,COMPUTER ORGANIZATION AND ARCHITECTURE,56,80.3
Rohan Kulkarni,rk7593@srmist.edu.in,#7KBYmTF,ADVANCED PROGRAMMING PRACTICE,42,76.01
Rohan Kulkarni,rk7593@srmist.edu.in,#7KBYmTF,DATA STRUCTURES AND ALGORITHMS,38,83.95
Rohan Kulkarni,rk7593@srmist.edu.in,#7KBYmTF,DATA STRUCTURES AND ALGORITHMS LAB,40,54.84
Rohan Kulkarni,rk7593@srmist.edu.in,#7KBYmTF,PROFESSIONAL ETHICS,43,94.45
Rohan Kulkarni,rk7593@srmist.edu.in,#7KBYmTF,OBJECT ORIENTED DESIGN AND PROGRAMMING,30,89.35
Rohan Kulkarni,rk7593@srmist.edu.in,#7KBYmTF,RASPBERRY PI FUNDAMENTALS,52,67.55
Mohan Shukla,ms8144@srmist.edu.in,UxCSt6@0,UHV-II,43,95.17
Mohan Shukla,ms8144@srmist.edu.in,UxCSt6@0,COMPUTER ORGANIZATION AND ARCHITECTURE,31,77.04
Mohan Shukla,ms8144@srmist.edu.in,UxCSt6@0,ADVANCED PROGRAMMING PRACTICE,37,78.59
Mohan Shukla,ms8144@srmist.edu.in,UxCSt6@0,DATA STRUCTURES AND ALGORITHMS,44,90.06
Mohan Shukla,ms8144@srmist.edu.in,UxCSt6@0,DATA STRUCTURES AND ALGORITHMS LAB,32,70.62
Mohan Shukla,ms8144@srmist.edu.in,UxCSt6@0,PROFESSIONAL ETHICS,58,52.95
Mohan Shukla,ms8144@srmist.edu.in,UxCSt6@0,OBJECT ORIENTED DESIGN AND PROGRAMMING,55,56.69
Mohan Shukla,ms8144@srmist.edu.in,UxCSt6@0,RASPBERRY PI FUNDAMENTALS,38,74.78
Vihaan Sharma,vs8825@srmist.edu.in,6k%20rer,UHV-II,43,51.89
Vihaan Sharma,vs8825@srmist.edu.in,6k%20rer,COMPUTER ORGANIZATION AND ARCHITECTURE,46,70.41
Vihaan Sharma,vs8825@srmist.edu.in,6k%20rer,ADVANCED PROGRAMMING PRACTICE,50,64.62
Vihaan Sharma,vs8825@srmist.edu.in,6k%20rer,DATA STRUCTURES AND ALGORITHMS,51,80.69
Vihaan Sharma,vs8825@srmist.edu.in,6k%20rer,DATA STRUCTURES AND ALGORITHMS LAB,38,94.47
Vihaan Sharma,vs8825@srmist.edu.in,6k%20rer,PROFESSIONAL ETHICS,59,82.07
Vihaan Sharma,vs8825@srmist.edu.in,6k%20rer,OBJECT ORIENTED DESIGN AND PROGRAMMING,60,85.98
Vihaan Sharma,vs8825@srmist.edu.in,6k%20rer,RASPBERRY PI FUNDAMENTALS,46,66.13
Dev Kulkarni,dk0837@srmist.edu.in,oh2!u5X!,UHV-II,59,69.1
Dev Kulkarni,dk0837@srmist.edu.in,oh2!u5X!,COMPUTER ORGANIZATION AND ARCHITECTURE,39,59.2
Dev Kulkarni,dk0837@srmist.edu.in,oh2!u5X!,ADVANCED PROGRAMMING PRACTICE,60,85.81
Dev Kulkarni,dk0837@srmist.edu.in,oh2!u5X!,DATA STRUCTURES AND ALGORITHMS,49,64.53
Dev Kulkarni,dk0837@srmist.edu.in,oh2!u5X!,DATA STRUCTURES AND ALGORITHMS LAB,53,57.25
Dev Kulkarni,dk0837@srmist.edu.in,oh2!u5X!,PROFESSIONAL ETHICS,51,62.31
Dev Kulkarni,dk0837@srmist.edu.in,oh2!u5X!,OBJECT ORIENTED DESIGN AND PROGRAMMING,60,88.45
Dev Kulkarni,dk0837@srmist.edu.in,oh2!u5X!,RASPBERRY PI FUNDAMENTALS,35,65.63
Karthik Chatterjee,kc1225@srmist.edu.in,TcTyTmIE,UHV-II,39,67.79
Karthik Chatterjee,kc1225@srmist.edu.in,TcTyTmIE,COMPUTER ORGANIZATION AND ARCHITECTURE,45,85.74
Karthik Chatterjee,kc1225@srmist.edu.in,TcTyTmIE,ADVANCED PROGRAMMING PRACTICE,51,88.86
Karthik Chatterjee,kc1225@srmist.edu.in,TcTyTmIE,DATA STRUCTURES AND ALGORITHMS,54,55.06
Karthik Chatterjee,kc1225@srmist.edu.in,TcTyTmIE,DATA STRUCTURES AND ALGORITHMS LAB,47,93.22
Karthik Chatterjee,kc1225@srmist.edu.in,TcTyTmIE,PROFESSIONAL ETHICS,42,79.7
Karthik Chatterjee,kc1225@srmist.edu.in,TcTyTmIE,OBJECT ORIENTED DESIGN AND PROGRAMMING,54,93.99
Karthik Chatterjee,kc1225@srmist.edu.in,TcTyTmIE,RASPBERRY PI FUNDAMENTALS,54,93.57
Akash Singh,as7256@srmist.edu.in,Eq0!4%pw,UHV-II,57,98.04
Akash Singh,as7256@srmist.edu.in,Eq0!4%pw,COMPUTER ORGANIZATION AND ARCHITECTURE,32,69.28
Akash Singh,as7256@srmist.edu.in,Eq0!4%pw,ADVANCED PROGRAMMING PRACTICE,33,91.02
Akash Singh,as7256@srmist.edu.in,Eq0!4%pw,DATA STRUCTURES AND ALGORITHMS,37,95.87
Akash Singh,as7256@srmist.edu.in,Eq0!4%pw,DATA STRUCTURES AND ALGORITHMS LAB,55,74.5
Akash Singh,as7256@srmist.edu.in,Eq0!4%pw,PROFESSIONAL ETHICS,51,81.98
Akash Singh,as7256@srmist.edu.in,Eq0!4%pw,OBJECT ORIENTED DESIGN AND PROGRAMMING,39,95.55
Akash Singh,as7256@srmist.edu.in,Eq0!4%pw,RASPBERRY PI FUNDAMENTALS,48,73.87
Shruti Pillai,sp6194@srmist.edu.in,RB11HNS9,UHV-II,41,88.34
Shruti Pillai,sp6194@srmist.edu.in,RB11HNS9,COMPUTER ORGANIZATION AND ARCHITECTURE,59,73.87
Shruti Pillai,sp6194@srmist.edu.in,RB11HNS9,ADVANCED PROGRAMMING PRACTICE,57,70.57
Shruti Pillai,sp6194@srmist.edu.in,RB11HNS9,DATA STRUCTURES AND ALGORITHMS,36,99.11
Shruti Pillai,sp6194@srmist.edu.in,RB11HNS9,DATA STRUCTURES AND ALGORITHMS LAB,40,87.04
Shruti Pillai,sp6194@srmist.edu.in,RB11HNS9,PROFESSIONAL ETHICS,57,77.8
Shruti Pillai,sp6194@srmist.edu.in,RB11HNS9,OBJECT ORIENTED DESIGN AND PROGRAMMING,44,87.39
Shruti Pillai,sp6194@srmist.edu.in,RB11HNS9,RASPBERRY PI FUNDAMENTALS,40,70.47
Gauri Naidu,gn1664@srmist.edu.in,@Q#Sc2Lu,UHV-II,52,53.25
Gauri Naidu,gn1664@srmist.edu.in,@Q#Sc2Lu,COMPUTER ORGANIZATION AND ARCHITECTURE,36,78.14
Gauri Naidu,gn1664@srmist.edu.in,@Q#Sc2Lu,ADVANCED PROGRAMMING PRACTICE,58,96.38
Gauri Naidu,gn1664@srmist.edu.in,@Q#Sc2Lu,DATA STRUCTURES AND ALGORITHMS,32,91.29
Gauri Naidu,gn1664@srmist.edu.in,@Q#Sc2Lu,DATA STRUCTURES AND ALGORITHMS LAB,51,77.85
Gauri Naidu,gn1664@srmist.edu.in,@Q#Sc2Lu,PROFESSIONAL ETHICS,46,68.0
Gauri Naidu,gn1664@srmist.edu.in,@Q#Sc2Lu,OBJECT ORIENTED DESIGN AND PROGRAMMING,59,50.73
Gauri Naidu,gn1664@srmist.edu.in,@Q#Sc2Lu,RASPBERRY PI FUNDAMENTALS,49,59.92
Aditi Chatterjee,ac1144@srmist.edu.in,mqsej7Dc,UHV-II,46,92.45
Aditi Chatterjee,ac1144@srmist.edu.in,mqsej7Dc,COMPUTER ORGANIZATION AND ARCHITECTURE,59,70.15
Aditi Chatterjee,ac1144@srmist.edu.in,mqsej7Dc,ADVANCED PROGRAMMING PRACTICE,46,64.41
Aditi Chatterjee,ac1144@srmist.edu.in,mqsej7Dc,DATA STRUCTURES AND ALGORITHMS,34,63.48
Aditi Chatterjee,ac1144@srmist.edu.in,mqsej7Dc,DATA STRUCTURES AND ALGORITHMS LAB,45,51.91
Aditi Chatterjee,ac1144@srmist.edu.in,mqsej7Dc,PROFESSIONAL ETHICS,54,66.07
Aditi Chatterjee,ac1144@srmist.edu.in,mqsej7Dc,OBJECT ORIENTED DESIGN AND PROGRAMMING,54,66.62
Aditi Chatterjee,ac1144@srmist.edu.in,mqsej7Dc,RASPBERRY PI FUNDAMENTALS,34,82.54
Bhavya Bhat,bb3566@srmist.edu.in,%yMJk$s5,UHV-II,30,57.49
Bhavya Bhat,bb3566@srmist.edu.in,%yMJk$s5,COMPUTER ORGANIZATION AND ARCHITECTURE,50,98.11
Bhavya Bhat,bb3566@srmist.edu.in,%yMJk$s5,ADVANCED PROGRAMMING PRACTICE,46,88.01
Bhavya Bhat,bb3566@srmist.edu.in,%yMJk$s5,DATA STRUCTURES AND ALGORITHMS,34,98.24
Bhavya Bhat,bb3566@srmist.edu.in,%yMJk$s5,DATA STRUCTURES AND ALGORITHMS LAB,55,81.95
Bhavya Bhat,bb3566@srmist.edu.in,%yMJk$s5,PROFESSIONAL ETHICS,42,93.94
Bhavya Bhat,bb3566@srmist.edu.in,%yMJk$s5,OBJECT ORIENTED DESIGN AND PROGRAMMING,34,92.7
Bhavya Bhat,bb3566@srmist.edu.in,%yMJk$s5,RASPBERRY PI FUNDAMENTALS,36,78.75
Harsha Bajpai,hb9425@srmist.edu.in,vTS4!GEp,UHV-II,33,56.81
Harsha Bajpai,hb9425@srmist.edu.in,vTS4!GEp,COMPUTER ORGANIZATION AND ARCHITECTURE,36,65.65
Harsha Bajpai,hb9425@srmist.edu.in,vTS4!GEp,ADVANCED PROGRAMMING PRACTICE,48,64.5
Harsha Bajpai,hb9425@srmist.edu.in,vTS4!GEp,DATA STRUCTURES AND ALGORITHMS,59,53.91
Harsha Bajpai,hb9425@srmist.edu.in,vTS4!GEp,DATA STRUCTURES AND ALGORITHMS LAB,47,95.35
Harsha Bajpai,hb9425@srmist.edu.in,vTS4!GEp,PROFESSIONAL ETHICS,50,89.5
Harsha Bajpai,hb9425@srmist.edu.in,vTS4!GEp,OBJECT ORIENTED DESIGN AND PROGRAMMING,51,80.24
Harsha Bajpai,hb9425@srmist.edu.in,vTS4!GEp,RASPBERRY PI FUNDAMENTALS,37,58.03
Aditya Rastogi,ar0285@srmist.edu.in,8NF!gFmE,UHV-II,59,96.96
Aditya Rastogi,ar0285@srmist.edu.in,8NF!gFmE,COMPUTER ORGANIZATION AND ARCHITECTURE,48,87.11
Aditya Rastogi,ar0285@srmist.edu.in,8NF!gFmE,ADVANCED PROGRAMMING PRACTICE,47,66.88
Aditya Rastogi,ar0285@srmist.edu.in,8NF!gFmE,DATA STRUCTURES AND ALGORITHMS,40,81.44
Aditya Rastogi,ar0285@srmist.edu.in,8NF!gFmE,DATA STRUCTURES AND ALGORITHMS LAB,54,80.58
Aditya Rastogi,ar0285@srmist.edu.in,8NF!gFmE,PROFESSIONAL ETHICS,44,55.65
Aditya Rastogi,ar0285@srmist.edu.in,8NF!gFmE,OBJECT ORIENTED DESIGN AND PROGRAMMING,41,63.35
Aditya Rastogi,ar0285@srmist.edu.in,8NF!gFmE,RASPBERRY PI FUNDAMENTALS,33,97.22
Harsha Chopra,hc7420@srmist.edu.in,!o6Q15kQ,UHV-II,58,54.58
Harsha Chopra,hc7420@srmist.edu.in,!o6Q15kQ,COMPUTER ORGANIZATION AND ARCHITECTURE,58,75.48
Harsha Chopra,hc7420@srmist.edu.in,!o6Q15kQ,ADVANCED PROGRAMMING PRACTICE,43,65.65
Harsha Chopra,hc7420@srmist.edu.in,!o6Q15kQ,DATA STRUCTURES AND ALGORITHMS,49,99.4
Harsha Chopra,hc7420@srmist.edu.in,!o6Q15kQ,DATA STRUCTURES AND ALGORITHMS LAB,46,57.4
Harsha Chopra,hc7420@srmist.edu.in,!o6Q15kQ,PROFESSIONAL ETHICS,36,72.18
Harsha Chopra,hc7420@srmist.edu.in,!o6Q15kQ,OBJECT ORIENTED DESIGN AND PROGRAMMING,49,60.46
Harsha Chopra,hc7420@srmist.edu.in,!o6Q15kQ,RASPBERRY PI FUNDAMENTALS,31,58.9
Sneha Pillai,sp6971@srmist.edu.in,&jH9EP*T,UHV-II,39,75.23
Sneha Pillai,sp6971@srmist.edu.in,&jH9EP*T,COMPUTER ORGANIZATION AND ARCHITECTURE,49,58.22
Sneha Pillai,sp6971@srmist.edu.in,&jH9EP*T,ADVANCED PROGRAMMING PRACTICE,59,85.1
Sneha Pillai,sp6971@srmist.edu.in,&jH9EP*T,DATA STRUCTURES AND ALGORITHMS,49,71.33
Sneha Pillai,sp6971@srmist.edu.in,&jH9EP*T,DATA STRUCTURES AND ALGORITHMS LAB,47,88.19
Sneha Pillai,sp6971@srmist.edu.in,&jH9EP*T,PROFESSIONAL ETHICS,43,93.77
Sneha Pillai,sp6971@srmist.edu.in,&jH9EP*T,OBJECT ORIENTED DESIGN AND PROGRAMMING,58,64.37
Sneha Pillai,sp6971@srmist.edu.in,&jH9EP*T,RASPBERRY PI FUNDAMENTALS,38,55.6
Vivaan Nambiar,vn7082@srmist.edu.in,0cN19#Y9,UHV-II,32,81.03
Vivaan Nambiar,vn7082@srmist.edu.in,0cN19#Y9,COMPUTER ORGANIZATION AND ARCHITECTURE,35,66.19
Vivaan Nambiar,vn7082@srmist.edu.in,0cN19#Y9,ADVANCED PROGRAMMING PRACTICE,44,90.11
Vivaan Nambiar,vn7082@srmist.edu.in,0cN19#Y9,DATA STRUCTURES AND ALGORITHMS,30,59.17
Vivaan Nambiar,vn7082@srmist.edu.in,0cN19#Y9,DATA STRUCTURES AND ALGORITHMS LAB,46,76.54
Vivaan Nambiar,vn7082@srmist.edu.in,0cN19#Y9,PROFESSIONAL ETHICS,56,78.91
Vivaan Nambiar,vn7082@srmist.edu.in,0cN19#Y9,OBJECT ORIENTED DESIGN AND PROGRAMMING,57,58.6
Vivaan Nambiar,vn7082@srmist.edu.in,0cN19#Y9,RASPBERRY PI FUNDAMENTALS,32,53.08
Tejas Joshi,tj7279@srmist.edu.in,rQ1Tu5r&,UHV-II,32,88.14
Tejas Joshi,tj7279@srmist.edu.in,rQ1Tu5r&,COMPUTER ORGANIZATION AND ARCHITECTURE,53,69.17
Tejas Joshi,tj7279@srmist.edu.in,rQ1Tu5r&,ADVANCED PROGRAMMING PRACTICE,59,84.19
Tejas Joshi,tj7279@srmist.edu.in,rQ1Tu5r&,DATA STRUCTURES AND ALGORITHMS,59,52.08
Tejas Joshi,tj7279@srmist.edu.in,rQ1Tu5r&,DATA STRUCTURES AND ALGORITHMS LAB,51,98.19
Tejas Joshi,tj7279@srmist.edu.in,rQ1Tu5r&,PROFESSIONAL ETHICS,50,99.12
Tejas Joshi,tj7279@srmist.edu.in,rQ1Tu5r&,OBJECT ORIENTED DESIGN AND PROGRAMMING,43,64.37
Tejas Joshi,tj7279@srmist.edu.in,rQ1Tu5r&,RASPBERRY PI FUNDAMENTALS,40,82.21
Mohan Bhat,mb6345@srmist.edu.in,aPR0U%nk,UHV-II,37,77.43
Mohan Bhat,mb6345@srmist.edu.in,aPR0U%nk,COMPUTER ORGANIZATION AND ARCHITECTURE,42,76.65
Mohan Bhat,mb6345@srmist.edu.in,aPR0U%nk,ADVANCED PROGRAMMING PRACTICE,34,93.26
Mohan Bhat,mb6345@srmist.edu.in,aPR0U%nk,DATA STRUCTURES AND ALGORITHMS,56,75.84
Mohan Bhat,mb6345@srmist.edu.in,aPR0U%nk,DATA STRUCTURES AND ALGORITHMS LAB,49,81.41
Mohan Bhat,mb6345@srmist.edu.in,aPR0U%nk,PROFESSIONAL ETHICS,38,92.03
Mohan Bhat,mb6345@srmist.edu.in,aPR0U%nk,OBJECT ORIENTED DESIGN AND PROGRAMMING,40,75.77
Mohan Bhat,mb6345@srmist.edu.in,aPR0U%nk,RASPBERRY PI FUNDAMENTALS,33,66.77
Ajay Jain,aj5253@srmist.edu.in,22*B2Z79,UHV-II,31,89.38
Ajay Jain,aj5253@srmist.edu.in,22*B2Z79,COMPUTER ORGANIZATION AND ARCHITECTURE,36,67.87
Ajay Jain,aj5253@srmist.edu.in,22*B2Z79,ADVANCED PROGRAMMING PRACTICE,53,60.84
Ajay Jain,aj5253@srmist.edu.in,22*B2Z79,DATA STRUCTURES AND ALGORITHMS,46,97.13
Ajay Jain,aj5253@srmist.edu.in,22*B2Z79,DATA STRUCTURES AND ALGORITHMS LAB,42,65.25
Ajay Jain,aj5253@srmist.edu.in,22*B2Z79,PROFESSIONAL ETHICS,37,76.03
Ajay Jain,aj5253@srmist.edu.in,22*B2Z79,OBJECT ORIENTED DESIGN AND PROGRAMMING,56,73.22
Ajay Jain,aj5253@srmist.edu.in,22*B2Z79,RASPBERRY PI FUNDAMENTALS,37,56.36
Manish Basak,mb0272@srmist.edu.in,lu1%528S,UHV-II,30,64.97
Manish Basak,mb0272@srmist.edu.in,lu1%528S,COMPUTER ORGANIZATION AND ARCHITECTURE,32,69.54
Manish Basak,mb0272@srmist.edu.in,lu1%528S,ADVANCED PROGRAMMING PRACTICE,52,85.11
Manish Basak,mb0272@srmist.edu.in,lu1%528S,DATA STRUCTURES AND ALGORITHMS,37,78.83
Manish Basak,mb0272@srmist.edu.in,lu1%528S,DATA STRUCTURES AND ALGORITHMS LAB,36,88.81
Manish Basak,mb0272@srmist.edu.in,lu1%528S,PROFESSIONAL ETHICS,34,89.65
Manish Basak,mb0272@srmist.edu.in,lu1%528S,OBJECT ORIENTED DESIGN AND PROGRAMMING,36,59.14
